EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 1, 2017, Lightning, 216, 327, 414, eco40, 34.5, 11, 226, Weather, 1070, 866.7, 3.53, 19.84, 2441, 26456, 23.6, 0.38, 0.62, 0, 0.39, 0.25, 6044, 14216, 64743.4, 52713.7, 42855.5, 4465.4, 5392.9, 1019.4, 80873.3, 224, 27.5, 
2, 1, 2017, Accidental, 234, 355, 355, eco100, 18, 1, 234, InitialAttack, 1, 0.8, 0.31, 0.31, 81, 81, 0.6, 1, 0, 0, 0, 0, 0, 0, 0, 34.8, 26.5, 8.2, 0, 0.85, 50.2, 0, 0, 
3, 1, 2017, Accidental, 236, 341, 360, eco16, 23, 19, 254, Weather, 6102, 4942.6, 4.42, 43.64, 3429, 85419, 51.6, 0.32, 0.67, 0.01, 0.41, 0.35, 31630, 75036, 376568.5, 335272.9, 232718.1, 65751.2, 36803.6, 7130.13, 503292.7, 252, 15, 
4, 2, 2017, Accidental, 150, 351, 354, eco16, 0.1, 1, 150, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8.1, 8.1, 0, 0, 0.14, 12.6, 0, 0, 
5, 3, 2017, Accidental, 127, 388, 423, eco100, 0, 1, 127, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.09, 0, 0, 23, 12.5, 9.2, 9.2, 0, 0, 0.19, 13.8, 0, 0, 
6, 3, 2017, Accidental, 266, 436, 424, eco106, 17, 5, 270, Contained, 21, 17, 3.02, 7.73, 1569, 5685, 4.1, 0.33, 0.67, 0, 0.4, 0.38, 66, 222, 706.8, 1086.9, 672.9, 348.9, 65.2, 25.83, 1585.2, 270, 29.6, 
7, 4, 2017, Accidental, 63, 351, 422, eco14, 0, 1, 63, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.01, 0, 0, 17, 5.7, 18.6, 18.6, 0, 0, 0.33, 29, 0, 0, 
8, 4, 2017, Accidental, 228, 349, 367, eco100, 10.9, 2, 229, Weather, 1, 0.8, 0.55, 0.55, 87, 87, 0.6, 1, 0, 0, 0.02, 0, 0, 22, 3.9, 16.6, 16.6, 0, 0, 0.34, 25.2, 0, 0, 
9, 4, 2017, Accidental, 286, 422, 411, eco106, 0, 1, 286, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.03, 0, 0, 4, 0.5, 6.8, 6.8, 0, 0, 0.17, 9.8, 0, 0, 
10, 7, 2017, Accidental, 129, 371, 426, eco16, 2.6, 1, 129, InitialAttack, 1, 0.8, 1.66, 1.66, 1057, 1057, 1.9, 0, 1, 0, 0.24, 0, 0, 35, 59.1, 31.1, 17.1, 0, 13.9, 0.51, 49.3, 0, 0, 
11, 8, 2017, Accidental, 230, 353, 390, eco109, 21.6, 1, 230, InitialAttack, 1, 0.8, 0.07, 0.07, 47, 47, 0.5, 1, 0, 0, 0.05, 0, 0, 13, 0.8, 64.6, 58.7, 5.9, 0, 1.66, 92.1, 0, 0, 
12, 9, 2017, Accidental, 306, 361, 399, eco14, 0, 1, 306, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2.8, 2.8, 0, 0, 0.07, 4.1, 0, 0, 
13, 10, 2017, Accidental, 201, 346, 327, eco125, 8.4, 1, 201, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.05, 0, 0, 3, 0.1, 12.8, 12.8, 0, 0, 0.33, 18.2, 0, 0, 
14, 16, 2017, Accidental, 245, 393, 425, eco100, 1.5, 1, 245, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.09, 0, 0, 14, 17.5, 26.1, 26.1, 0, 0, 0.53, 39.6, 0, 0, 
15, 17, 2017, Accidental, 227, 321, 417, eco40, 14.5, 1, 227, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.65, 0, 0, 1, 1.5, 13.3, 11.9, 1.4, 0, 0.34, 19, 0, 0, 
16, 20, 2017, Accidental, 139, 438, 429, eco108, 6.4, 2, 140, Weather, 1, 0.8, 1.3, 1.3, 289, 289, 1, 0, 1, 0, 0.18, 0, 0, 7, 14.2, 14.9, 12.7, 0, 2.2, 0.32, 22.3, 0, 0, 
17, 22, 2017, Accidental, 238, 339, 390, eco14, 29.5, 9, 246, Contained, 248, 200.9, 2.89, 17.27, 3190, 34928, 28.4, 0.19, 0.73, 0.08, 0.31, 0.23, 760, 2998, 12484.3, 14378.3, 10101.3, 2392.4, 1884.5, 321, 21323, 246, 34, 
18, 25, 2017, Lightning, 262, 383, 413, eco100, 15.7, 1, 262, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3.1, 2.4, 0.7, 0, 0.08, 4.4, 0, 0, 
19, 26, 2017, Accidental, 235, 416, 421, eco16, 17, 1, 235, InitialAttack, 1, 0.8, 0.09, 0.09, 33, 33, 0.4, 1, 0, 0, 0.04, 0, 0, 13, 2.6, 32.5, 31.5, 1, 0, 0.81, 46.8, 0, 0, 
20, 26, 2017, Accidental, 283, 418, 417, eco16, 20.9, 9, 291, Weather, 700, 567, 7.97, 60, 7216, 127435, 67.4, 0.12, 0.81, 0.08, 0.46, 0.52, 1716, 8899, 53500.1, 34883, 23483.7, 4475.9, 6923.4, 729.02, 52584.2, 289, 51.3, 
21, 27, 2017, Accidental, 172, 332, 390, eco51, 0, 1, 172, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.01, 0, 0, 5, 2, 16.5, 16.5, 0, 0, 0.27, 26, 0, 0, 
22, 28, 2017, Accidental, 285, 362, 387, eco109, 28.2, 2, 286, Weather, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7.8, 6.1, 1.7, 0, 0.2, 11.1, 0, 0, 
23, 29, 2017, Accidental, 189, 357, 386, eco100, 19.2, 2, 190, Weather, 1, 0.8, 0.42, 0.42, 192, 192, 0.9, 1, 0, 0, 0.08, 0, 0, 23, 14, 47.8, 47.8, 0, 0, 0.99, 72.2, 0, 0, 
24, 30, 2017, Accidental, 198, 367, 383, eco109, 9, 2, 199, Weather, 1, 0.8, 0.88, 0.88, 191, 191, 0.9, 1, 0, 0, 0.03, 0, 0, 15, 2.6, 20.5, 20.5, 0, 0, 0.47, 30, 0, 0, 
25, 31, 2017, Accidental, 100, 411, 425, eco16, 0.6, 1, 100, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.04, 0, 0, 23, 14.1, 16.7, 16.7, 0, 0, 0.33, 25.5, 0, 0, 
26, 36, 2017, Accidental, 201, 344, 390, eco14, 12.1, 1, 201, InitialAttack, 1, 0.8, 0.14, 0.14, 33, 33, 0.4, 1, 0, 0, 0.03, 0, 0, 9, 4.9, 22.9, 22.9, 0, 0, 0.5, 34.3, 0, 0, 
27, 38, 2017, Accidental, 221, 322, 328, eco45, 4.8, 1, 221, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4.3, 4.3, 0, 0, 0.11, 6.1, 0, 0, 
28, 40, 2017, Accidental, 271, 411, 396, eco164, 0, 1, 271, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3.8, 3.8, 0, 0, 0.1, 5.4, 0, 0, 
