EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 3, 2020, Accidental, 154, 341, 355, eco16, 5.9, 1, 154, InitialAttack, 1, 0.8, 0.64, 0.64, 163, 163, 0.8, 0, 1, 0, 0.1, 0, 0, 30, 19.7, 24.6, 23.5, 0, 1.1, 0.5, 37.3, 0, 0, 
2, 4, 2020, Lightning, 219, 325, 434, eco39, 15.2, 1, 219, InitialAttack, 10, 8.1, 2.47, 4.54, 2303, 5924, 4.2, 0, 1, 0, 0.45, 0.4, 59, 216, 927.1, 460.1, 290.8, 30.5, 138.8, 8.96, 704.8, 219, 15.2, 
3, 7, 2020, Lightning, 235, 439, 386, eco164, 16.1, 2, 236, Weather, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 19.3, 16.8, 2.5, 0, 0.48, 27.6, 0, 0, 
4, 8, 2020, Accidental, 257, 387, 429, eco100, 11.1, 1, 257, InitialAttack, 1, 0.8, 2.95, 2.95, 968, 968, 1.8, 0, 1, 0, 0.04, 0, 0, 10, 6.9, 29.1, 24.7, 2.8, 1.6, 0.66, 43.1, 0, 0, 
5, 9, 2020, Lightning, 229, 330, 394, eco51, 21.3, 4, 232, Weather, 344, 278.6, 6.9, 38.47, 8330, 58931, 40.3, 0, 0.83, 0.17, 0.73, 0.72, 3631, 3415, 47047.8, 18109.2, 10652.4, 1155.6, 6301.2, 343.01, 27906.5, 230, 27.2, 
6, 10, 2020, Lightning, 198, 369, 439, eco100, 15.3, 1, 198, InitialAttack, 1, 0.8, 1.13, 1.13, 594, 594, 1.5, 0, 1, 0, 0.11, 0, 0, 23, 17.8, 36.8, 30.7, 0, 6.1, 0.71, 56.5, 0, 0, 
7, 10, 2020, Accidental, 209, 331, 412, eco51, 25.9, 2, 210, Contained, 8, 6.5, 2.09, 3.22, 2898, 5065, 3.9, 0.13, 0.88, 0, 0.48, 0.38, 77, 188, 1197.3, 455.4, 263.7, 0, 191.7, 7.88, 714.5, 210, 16.5, 
8, 13, 2020, Lightning, 175, 378, 367, eco17, 1.6, 1, 175, InitialAttack, 1, 0.8, 2.24, 2.24, 1511, 1511, 2.2, 0, 1, 0, 0.61, 0, 4, 11, 79.6, 31, 17.6, 0, 13.4, 0.55, 48.4, 0, 0, 
9, 13, 2020, Accidental, 212, 370, 418, eco100, 31.2, 7, 218, Contained, 2198, 1780.4, 5.85, 38.8, 5871, 57622, 39.7, 0.05, 0.87, 0.08, 0.56, 0.51, 15201, 30522, 257010.8, 105501.7, 74639.4, 1032.8, 29829.6, 1977.67, 162933, 218, 13.2, 
10, 18, 2020, Accidental, 210, 335, 414, eco44, 0, 1, 210, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.14, 0, 0, 17, 34.7, 24.6, 24.6, 0, 0, 0.53, 36.8, 0, 0, 
11, 21, 2020, Lightning, 240, 360, 424, eco16, 15.5, 1, 240, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 86.6, 81.6, 5.1, 0, 2.25, 123.1, 0, 0, 
12, 21, 2020, Lightning, 253, 410, 403, eco164, 20.9, 1, 253, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11.5, 10.3, 1.2, 0, 0.29, 16.4, 0, 0, 
13, 21, 2020, Lightning, 255, 428, 433, eco106, 32.9, 1, 255, InitialAttack, 2, 1.6, 0.39, 0.7, 136, 233, 1, 0.5, 0.5, 0, 0.06, 0, 0, 19, 3, 90.2, 75.8, 14, 0.3, 2.3, 128.8, 255, 32.9, 
14, 22, 2020, Accidental, 240, 376, 376, eco17, 6.3, 1, 240, InitialAttack, 1, 0.8, 2.77, 2.77, 3060, 3060, 3.1, 0, 1, 0, 0.77, 1, 2, 26, 153.7, 50.1, 27.4, 0, 22.7, 0.85, 78.9, 0, 0, 
