EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,seed
1,3,2020,Accidental,154,341,355,eco16,5.9,1,154,InitialAttack,1,0.8,0.64,0.64,163,163,0.8,0,1,0,0.1,0,0,30,19.7,24.6,23.5,0,1.1,0.5,37.3,0,0,3333
2,4,2020,Lightning,219,325,434,eco39,15.2,1,219,InitialAttack,10,8.1,2.47,4.54,2303,5924,4.2,0,1,0,0.45,0.4,59,216,927.1,460.1,290.8,30.5,138.8,8.96,704.8,219,15.2,3333
3,7,2020,Lightning,235,439,386,eco164,16.1,1,235,InitialAttack,1,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,19.3,16.8,2.5,0,0.48,27.6,0,0,3333
4,8,2020,Accidental,257,387,429,eco100,11.1,1,257,InitialAttack,1,0.8,2.95,2.95,968,968,1.8,0,1,0,0.04,0,0,10,6.9,29.1,24.7,2.8,1.6,0.66,43.1,0,0,3333
5,9,2020,Lightning,229,330,394,eco51,21.3,3,231,Contained,344,278.6,6.9,38.47,8330,58931,40.3,0,0.83,0.17,0.73,0.72,3631,3415,47047.8,18109.2,10652.4,1155.6,6301.2,343.01,27906.5,230,27.2,3333
6,13,2020,Lightning,246,369,432,eco100,40.5,4,249,Contained,108,87.5,7.87,32.28,7178,39322,30.8,0,0.89,0.11,0.82,0.81,945,737,12160.8,5903,3507.1,913.9,1482.1,121.56,8929.4,249,17.4,3333
7,13,2020,Accidental,279,341,351,eco16,29.7,2,280,Contained,90,72.9,3.24,8.74,2646,9568,5.3,0.13,0.87,0,0.49,0.43,492,1278,6702.9,5429,3331.2,1266.7,831.1,118.7,8094.1,280,27.3,3333
8,13,2020,Lightning,286,376,382,eco17,24.6,2,287,Contained,230,186.3,2.39,7.96,2055,9121,5.1,0.18,0.82,0,0.38,0.27,1141,4248,16926.5,15767.1,9835.6,3986.7,1944.7,347.09,23466.8,287,28.1,3333
9,19,2020,Accidental,155,325,359,eco45,0.4,1,155,Unsustained,1,0.8,0,0,0,0,0,1,0,0,0.13,0,0,12,24.7,21.3,21.3,0,0,0.47,31.7,0,0,3333
10,20,2020,Lightning,215,345,384,eco109,21.6,2,216,Contained,97,78.6,5.53,26.28,6422,47003,34.6,0.01,0.91,0.08,0.59,0.52,697,1622,13680.2,5113.4,3419.3,52.4,1641.7,94.16,7926.1,216,14.9,3333
